"team_season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","PTS"
"TOR_1996-1997",25.9081606548989,0.436881555385009,0.212547966231773,0.457451777948324,0.473512918905091,0.707374008697877,0.141468406242006,0.322333077513431,0.0240470708621131,0.0711179329751855,0.116653875671527,0.251470964441034,0.0688155538500895,0.0974673829623945,0.0590943975441289,0.113328216935278,0.172678434382195,0.0757226912253773,0.0340240470708621,0.0260936300844206,0.0626758761831671,0.102072141212586,0.374008697876695,98.6
"TOR_1997-1998",25.1327800829876,0.420423858921162,0.23968734439834,0.435866390041494,0.44873153526971,0.690890663900415,0.14045643153527,0.330705394190871,0.0195020746887967,0.0566390041493776,0.121161825726141,0.274273858921162,0.0661825726141079,0.0927385892116183,0.0632780082987552,0.106224066390042,0.169087136929461,0.0821576763485477,0.0354771784232365,0.0284232365145228,0.0620331950207469,0.100622406639004,0.365767634854772,104.2
"TOR_1998-1999",27.5183717579251,0.414649855907781,0.181852665706052,0.4234265129683,0.438108069164265,0.722448126801153,0.131123919308357,0.318804034582133,0.0169308357348703,0.0482708933717579,0.115273775216138,0.270172910662824,0.0796109510086455,0.106988472622478,0.0590778097982709,0.114913544668588,0.173991354466859,0.0810518731988473,0.0338616714697406,0.024135446685879,0.0684438040345821,0.0947406340057637,0.359870317002882,92.8
"TOR_1999-2000",29.0761904761905,0.411659863945578,0.266505782312925,0.425280952380952,0.442506802721088,0.747729591836735,0.143197278911565,0.340816326530612,0.023469387755102,0.0659863945578231,0.120748299319728,0.274489795918367,0.0782312925170068,0.105102040816327,0.0527210884353742,0.124829931972789,0.176530612244898,0.0962585034013606,0.0377551020408163,0.0272108843537415,0.0598639455782313,0.108843537414966,0.386734693877551,97.3
"TOR_2000-2001",30.3610580856286,0.418056176711208,0.189260703572403,0.433731388055631,0.443634033269703,0.718844559585492,0.139623670575402,0.325334060539951,0.0185437687482956,0.0512680665394055,0.121898009271884,0.272702481592582,0.0689937278429234,0.0938096536678484,0.0578129260976275,0.127624761385329,0.185437687482956,0.0984455958549223,0.0299972729751841,0.0250886283065176,0.0556313062448868,0.0984455958549223,0.368148350149986,95.4
"TOR_2001-2002",28.8811761139739,0.435681721733859,0.188656865716884,0.44979963625341,0.461049105789633,0.724076083661716,0.146104880266748,0.3370718399515,0.0197029402849348,0.0569869657471961,0.126401939981813,0.280084874204304,0.0660806304940891,0.0900272809942407,0.0575932100636556,0.11700515307669,0.173992118823886,0.0879054258866323,0.0342528038799636,0.0227341618672325,0.0554713549560473,0.0936647468929979,0.378902697787208,91.8
"TOR_2002-2003",27.6831928606842,0.41783936539415,0.214610312345067,0.43014179474467,0.441442488844819,0.711956370847794,0.140555280118989,0.336142786316311,0.018096182449182,0.0547843331680714,0.121219633118493,0.281854238968765,0.067922657411998,0.0937035200793257,0.0525532969757065,0.119980168567179,0.172781358453148,0.0736241943480416,0.0287555775904809,0.0228061477441745,0.059494298463064,0.0999008428358949,0.366385721368369,96.8
"TOR_2003-2004",28.4775725593668,0.409104221635884,0.208868953386104,0.426188214599824,0.434246701846966,0.698089270008795,0.122911169744943,0.298592788038698,0.0178100263852243,0.0534300791556728,0.104661389621812,0.244283201407212,0.0558487247141601,0.076297273526825,0.0457343887423043,0.129727352682498,0.174582233948989,0.0787159190853122,0.0310026385224274,0.0175901495162709,0.0565083553210202,0.0914687774846086,0.318601583113456,88.5
"TOR_2004-2005",27.0789553598542,0.433806863042818,0.291985423625873,0.454417248709384,0.473667476465229,0.750037959307622,0.144549043425448,0.332219860309748,0.0285453993319162,0.0792590343152141,0.116610993015487,0.253871849377467,0.0780443364713028,0.103249316732463,0.0458548436076526,0.122988156696022,0.168843000303674,0.0880655936835712,0.0340115396295172,0.0179167931976921,0.0525356817491649,0.101123595505618,0.396598846037048,101.4
"TOR_2005-2006",27.1274957216201,0.431444666286366,0.219933257273246,0.452375641756988,0.46638106103822,0.730510838562464,0.134911580148317,0.31032515687393,0.0239589275527667,0.0710211066742727,0.11123787792356,0.238733599543639,0.0781517398745009,0.104962920707359,0.0459212778094695,0.118653736451797,0.164860239589276,0.076155162578437,0.0259555048488306,0.0139760410724472,0.049343981745579,0.104107244723331,0.371363377067884,104
"TOR_2006-2007",26.0219579139982,0.458657517535834,0.302783775541324,0.490234827691369,0.501643793839585,0.777966453186947,0.151265629765172,0.331808478194572,0.0280573345532174,0.0792924672156145,0.123208295211955,0.252211039951205,0.0789874961878622,0.101555352241537,0.0393412625800549,0.120158584934431,0.158889905458981,0.087221713937176,0.0298871607197316,0.0158584934431229,0.0530649588289113,0.0869167429094236,0.409881061299177,98.5
"TOR_2007-2008",26.6865527249274,0.461105127378265,0.344524346984844,0.474288939051919,0.502297645920671,0.787000644953241,0.157691067397614,0.344405030635279,0.0274105127378265,0.072234762979684,0.130603031280232,0.272170267655595,0.0715898097387939,0.0883585940019349,0.0412770074169623,0.124475975491777,0.165108029667849,0.0977104159948404,0.0290228958400516,0.0161238310222509,0.0506288294098678,0.0851338277974847,0.414382457271848,97.3
"TOR_2008-2009",27.0226958206477,0.453579296983116,0.244986991419873,0.477200387489621,0.486396346526432,0.791437586493219,0.153335178522004,0.337115970107944,0.0207583725435926,0.0572931082203155,0.13230002767783,0.279546083587047,0.0722391364517022,0.0913368391918074,0.0478826460005536,0.13008580127318,0.177691668973153,0.0891226127871575,0.0268474951563797,0.0215887074453363,0.0556324384168281,0.0871851646830888,0.39911430943814,101.9
"TOR_2009-2010",25.4893617021277,0.483077001013171,0.284566700439041,0.50877136102668,0.521171225937183,0.729730158730159,0.159405606214117,0.33096926713948,0.0246538331644715,0.0668693009118541,0.135764944275583,0.263424518743668,0.0813914218169537,0.1080715974333,0.0435663627152989,0.129010469436001,0.171901384667342,0.088145896656535,0.0246538331644715,0.0209388720027018,0.0560621411685241,0.0972644376899696,0.426207362377575,105.9
"TOR_2010-2011",25.2819747416762,0.453212858783008,0.21478392652124,0.485866590126292,0.480171756601607,0.721929276693456,0.152238805970149,0.331572904707233,0.0211251435132032,0.0638346727898967,0.130424799081515,0.267508610792193,0.0737083811710677,0.0987370838117107,0.0473019517795637,0.124454649827784,0.171756601607348,0.0916188289322618,0.0298507462686567,0.0167623421354765,0.0624569460390356,0.094833524684271,0.398163030998852,105.4
"TOR_2011-2012",26.1922573894847,0.428402825006539,0.261815066701543,0.452334292440492,0.465217106984044,0.747683756212399,0.138111430813497,0.325660476065917,0.0258958932775307,0.0782108291917342,0.112477112215538,0.247711221553754,0.0680094166884646,0.0884122416950039,0.0394977766152236,0.126863719591944,0.165053622809312,0.0907664138111431,0.0258958932775307,0.0177870782108292,0.0609469003400471,0.0946900340047084,0.370651320952132,94
"TOR_2012-2013",25.8994761785982,0.444024444998753,0.268855325517585,0.467593913694188,0.487264654527314,0.762319780493889,0.143427288600649,0.331005238214019,0.0309304065851833,0.0917934647044151,0.112995759541033,0.239461212272387,0.0678473434771764,0.0863058119231729,0.0414068346221003,0.121227238712896,0.163382389623347,0.0873035669743078,0.0294337740084809,0.0194562234971315,0.0533798952357196,0.09279121975555,0.385632327263657,98.7
"TOR_2013-2014",25.8971936649069,0.434669074742984,0.279194220616838,0.458889413726035,0.48410558488469,0.780594053903862,0.143373159210892,0.334815226451792,0.0341761600444568,0.0953042511808836,0.109752709085857,0.239233120311198,0.0769658238399556,0.0978049458182829,0.0475131981105863,0.132258960822451,0.180050013892748,0.0858571825507085,0.0305640455682134,0.017782717421506,0.0594609613781606,0.0975270908585718,0.397610447346485,98
