"Tm","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS"
"HOU","2017-2018",29.8261645749036,0.475047576430906,0.34367103150165,0.52393090906446,0.544174446583998,0.746533978501369,0.159424102736306,0.33858603044366,0.0504732638310773,0.140152111046756,0.105872737975365,0.198453103347236,0.0765158779795225,0.103027678246141,0.0501908802362827,0.137158923476961,0.181667692571598,0.101203163934259,0.0365970115646618,0.0177662691329375,0.0535517302227364,0.0872949227859061,0.453402019138812
"IND","2017-2018",26.2501041523005,0.470270002397775,0.315518012643803,0.509619384414536,0.516705459875314,0.745159082706702,0.163319034515394,0.344642677374235,0.0293375251508228,0.0881947901014385,0.131947263488244,0.257400689296742,0.065079715872889,0.0854535815357475,0.036830650551254,0.133565975999026,0.168536291971786,0.0846846171281267,0.0288452157448558,0.0207135375938932,0.0510903381365598,0.0837739948330776,0.424858833760521
"LAC","2017-2018",27.6822657635242,0.482825912999916,0.298687037720433,0.523050416275987,0.528218173479937,0.709928414383225,0.159518521614994,0.33865144605152,0.0373372645576533,0.102798768164114,0.122623142397982,0.233398446312466,0.100097852503768,0.13596428306812,0.0499757453112662,0.153519520250247,0.208117246819242,0.0962786707246605,0.0332253741738615,0.0182704626647154,0.0576524401181244,0.083329432980537,0.453323572711459
"LAL","2017-2018",25.2109851705364,0.471094304361165,0.287642861533448,0.524291186638366,0.521376533009935,0.704409846036235,0.159051713450401,0.337124089943059,0.0313611549059565,0.0979476933518942,0.124545537037079,0.239933006081129,0.0632424236483941,0.0927043707137827,0.0458860617406356,0.143750328545032,0.188702724019179,0.0904410332879165,0.0339135291389943,0.0230200351859476,0.0594965331320644,0.0829962315918004,0.419337439241099
"MEM","2017-2018",27.2884860596758,0.453945085115694,0.351214868905276,0.479399321964563,0.508982256126993,0.761768782228556,0.152172101691097,0.333102717591039,0.0366212022509026,0.096415367828679,0.116232016862055,0.236839863804515,0.0937745161761848,0.122427814808788,0.0431426099771688,0.143214583723398,0.18541644526031,0.0888552542343067,0.031277044083186,0.0205071115034515,0.0582402489843869,0.0982960978917097,0.432320043531926
"MIA","2017-2018",27.0117798544235,0.437891373852275,0.281621843020999,0.476737096011517,0.49838753043145,0.726159974252892,0.152459763808582,0.356065526980588,0.0439186797699874,0.122731318414695,0.109953734845005,0.22928223641039,0.0698687541689476,0.0957255385639114,0.0395637497332371,0.127819321993778,0.166264672688366,0.0952612591517753,0.034349823805199,0.019724421405724,0.055794354134136,0.0789465078326054,0.421899797174087
"MIL","2017-2018",26.8610406737719,0.464509215163153,0.325776500957031,0.497576822476484,0.530619767721112,0.778168902125855,0.153842718275715,0.327390190464484,0.0392386735675336,0.114903424124723,0.112627241975764,0.220131659312578,0.0687217047611758,0.0879637330382423,0.0375027379624224,0.128049386904766,0.164029239811986,0.0971150151702414,0.0341649085588378,0.0236403487617532,0.0523927275138126,0.0838552487230979,0.409505280794492
"MIN","2017-2018",27.6015190315477,0.474055361562942,0.33293522081326,0.506379781214126,0.522410178075011,0.74904968189627,0.17383693797203,0.362606355018496,0.0312833797535488,0.0881433312008076,0.139284403647077,0.271045408308586,0.0892287694563817,0.109072033101815,0.0476979582238284,0.132604609814807,0.178862035327057,0.0953301362819906,0.0325040991729141,0.0197581582355541,0.0578163252457158,0.0802564082317739,0.465804462327212
"NOP","2017-2018",28.330636040673,0.43934120519491,0.310338485760073,0.47962117048226,0.491846944113403,0.693460631793344,0.161840499179832,0.365251334837212,0.0356800349428104,0.100630203464629,0.123219137251923,0.257644333959575,0.0723805013791501,0.0957120415607205,0.0395810867754204,0.148626463516453,0.187055019839285,0.0981927609846302,0.034730023164469,0.0197429486909386,0.0590096284656485,0.0808168933645309,0.440006294745357
"NYK","2017-2018",27.5605437615464,0.468732639780661,0.294752203283845,0.512864251771804,0.518977451242333,0.764380237984967,0.154665414758193,0.330660114922994,0.0345995233505592,0.0997359049149931,0.120650978753449,0.236921227231434,0.0643201100050796,0.0876914876930956,0.0530508928353788,0.135186960255295,0.191074098871151,0.0726091474968309,0.0268959905526301,0.0231745099475462,0.0542831597480044,0.0888037353720394,0.406075830934366
"OKC","2017-2018",27.6691275138946,0.437938708826884,0.291837486078988,0.488341809637201,0.494723150739176,0.717569980680325,0.15723225735134,0.358849336495774,0.0420220365439835,0.121279688206423,0.11377035808765,0.234763232839682,0.0837817164019026,0.110418332251277,0.0424713677431622,0.156568181047372,0.197875309949513,0.0919982081622108,0.0342198233576308,0.0199539745078764,0.0629301948604386,0.0849872741463825,0.443460950743901
"ORL","2017-2018",26.6285375069559,0.453844113271886,0.308036723771692,0.495511589787809,0.509362604539732,0.742780545059405,0.156457517927388,0.344235418149711,0.0379652935678373,0.112758000535176,0.115645664755643,0.234344172669342,0.0697539688714631,0.0936487947901396,0.0388739361514744,0.142580483604221,0.181401159717789,0.0877904312138164,0.0304086178511974,0.0199623330922652,0.0529939139145779,0.0849459412070407,0.421586802003093
"PHI","2017-2018",25.4448146095022,0.460487151203152,0.29600953383084,0.492654612890666,0.51218611796175,0.764946027186646,0.177381026230012,0.387239188138056,0.0412819184463849,0.116454141342524,0.135931645781344,0.272418139490137,0.104399154085063,0.140282914797952,0.0476424691776267,0.145451083950196,0.19142639458948,0.101783205523571,0.0367502419297987,0.0295340812683589,0.0779366432596891,0.086213153622302,0.503895965264413
"PHO","2017-2018",25.1951984158544,0.47339929856454,0.307755512565903,0.513536750970978,0.524366787492604,0.757434569395178,0.179685906981662,0.386297811645607,0.0399091847374453,0.116881622337598,0.136011005152711,0.27013988783747,0.092700525838041,0.12161269576207,0.0464071219533663,0.136000269860315,0.181365957894303,0.0926435444472076,0.0323177214049024,0.019442757069098,0.0656427158677073,0.0935497227073834,0.48910928548828
"POR","2017-2018",25.828219719041,0.461796630117716,0.312316432003034,0.500692321351701,0.512641122304309,0.753017336978872,0.158836112333265,0.348441745257081,0.0377953896271767,0.100446784368215,0.120094130620514,0.241466278230328,0.0848101411641273,0.110772025203062,0.053411070804059,0.162627613512111,0.215570588892407,0.0865243891092856,0.0295697283120144,0.0267971880129172,0.0675036418841305,0.093791945257051,0.443134984096744
"SAC","2017-2018",28.0424878479592,0.457392264239044,0.280316855121403,0.489245605164755,0.505457971807099,0.734549668192526,0.156374697677473,0.341580305766481,0.0352926764793791,0.0929486876706764,0.121263335827165,0.245736149509761,0.0700552264274797,0.0966623773359914,0.0450797545025909,0.141739818656007,0.185922843430725,0.0848146579721958,0.0322652376877706,0.0167812891283174,0.0518797590383113,0.0909637991333171,0.422407860315422
"SAS","2017-2018",30.272522655445,0.452744112070015,0.396942152871893,0.481423421560067,0.518479996461976,0.80112172138927,0.166452849337803,0.359108042612475,0.0463935629370968,0.119429406986797,0.120152182675336,0.243490656114845,0.0770897749876227,0.0953374657694437,0.0412161502167341,0.135026967143227,0.17317236484442,0.0990339829869081,0.033838289355414,0.0247945067158181,0.0581743116326157,0.0724234958746913,0.455155086004796
"TOR","2017-2018",26.8775426741798,0.484283328618389,0.321804393528234,0.519061307376853,0.533963005612162,0.754804842449866,0.16068268397611,0.341842181430167,0.0375315823042104,0.103699404939178,0.121678178758894,0.241406461138176,0.0805828276501983,0.102868104634299,0.0504838886282387,0.138053866123462,0.187591502862222,0.0620213730180971,0.0342091632887181,0.0298623700575139,0.0521912631160548,0.0970139596110582,0.437175150966733
"UTA","2017-2018",27.4807932990205,0.452997886722037,0.281947244886005,0.486238189272823,0.504044193514196,0.739196419192737,0.130937130872606,0.289433853686751,0.03329838905055,0.0931873181248511,0.0976332439168955,0.197671999525068,0.0622018580005448,0.0870644918393655,0.0452685569630272,0.146128899684724,0.188147977175002,0.0962349970575818,0.0348945619277849,0.0187857765508373,0.0515695612825824,0.0838096052444718,0.35732589631578
"WAS","2017-2018",27.7910934817623,0.466113108930823,0.287889947926142,0.511262690420689,0.517282065738091,0.76915662273814,0.161092741045114,0.350558756199505,0.0394595237503757,0.111181782491077,0.12385858131789,0.239714827868219,0.0765079703922306,0.101570504121713,0.0420971786286852,0.132670164427691,0.177200113033618,0.0933040591668438,0.035933169888163,0.0173610409856522,0.0538125420135228,0.0889212937142431,0.43836380165317
