"Player","Pos","Season","Age","Tm","Exp","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Pick"
"Raul Neto","G","2018-2019",27,"UTA","3",0.450753986332574,0.39706862745098,0.479938189845475,0.527265469061876,0.710659598214286,0.00302141124952022,0.151070825557629,0.306921938720271,0.038682277318641,0.110785272075595,0.127965875766462,0.256936173966742,0.0348580312576712,0.0557637552685713,0.0100905842866939,0.0713229718828226,0.0884166338711793,0.145304413728392,0.029840613931523,0.00533191149026926,0.0894392698138774,0.0723974495351633,0.37839691075102,0
"Rawle Alkins  (TW)","G","2018-2019",22,"CHI","R",0.472802314887508,0.371609231742017,0.527928115459339,0.540899122807018,0.744317828009216,0.00416195711000063,0.159645535105657,0.337658108005756,0.0445126107702793,0.119783382564568,0.11525410891464,0.218314019541013,0.0905324547451335,0.121631447398318,0.0482087404377791,0.136764371733697,0.184708020904339,0.080163599182004,0.0334014996591683,0.0240702870559721,0.0640233280315079,0.0751798833598423,0.454487616450806,0
"Ray Spalding","F","2018-2019",22,"DAL","R",0.472802314887508,0.371609231742017,0.527928115459339,0.540899122807018,0.744317828009216,0.00345382976186619,0.159645535105657,0.337658108005756,0.0445126107702793,0.119783382564568,0.11525410891464,0.218314019541013,0.0905324547451335,0.121631447398318,0.0482087404377791,0.136764371733697,0.184708020904339,0.080163599182004,0.0334014996591683,0.0240702870559721,0.0640233280315079,0.0751798833598423,0.454487616450806,56
"Raymond Felton","G","2018-2019",35,"OKC","13",0.385083324585896,0.321547279996406,0.430267912293911,0.469297117094234,0.854228733850129,0.00357988134637984,0.125972722517621,0.341966415706303,0.0520620985429043,0.144313679801183,0.0748065733396513,0.196918291764389,0.019393338647317,0.0237190789706708,0.0174563412731946,0.0962815191713399,0.117617330088571,0.155224879083427,0.0339112669501846,0.010206011760352,0.049839984939759,0.0632068740814026,0.318826638046692,0
"Reggie Bullock","G-F","2018-2019",28,"DET","5",0.460886578707916,0.393811831051079,0.501991217142929,0.575955775931386,0.84927927939678,0.00764329362623762,0.158700204102786,0.331620320554431,0.0640606406064061,0.146898934691471,0.0857006741715879,0.164992414507232,0.0238588778780647,0.0302071952925843,0.013110228274724,0.0754726554879303,0.0919062493591881,0.0585271122735871,0.0265915523781651,0.00664947534017743,0.031152345473895,0.0458813435424668,0.401796120483301,0
"Reggie Hearn  (TW)","G","2018-2019",28,"DET","1",0.424708333333333,0.303583333333333,0.4693125,0.482333333333333,0.740375,0.001,0.17571455975446,0.399194321887589,0.0480529445616727,0.139554958756954,0.127661615192787,0.259735277191636,0.0931325532323038,0.11500095914061,0.0373105697295223,0.133991943218876,0.1713984270094,0.109821599846537,0.0296374448494149,0.0161135622482256,0.06713984270094,0.0758680222520621,0.492710531363898,0
"Reggie Jackson","G","2018-2019",29,"DET","7",0.427605527638191,0.324294764329547,0.472978829212845,0.478105900495617,0.786035738631716,0.00739757772917403,0.196574081858757,0.45498536857555,0.0470713291542942,0.143232062754226,0.137689124958878,0.293915226204129,0.0773264576449053,0.0997756554596618,0.0316647051506162,0.0691575331703206,0.0973217915442141,0.234109087991433,0.0236702757655814,0.00432607974209453,0.089569935974846,0.0745759683881671,0.508019022042578,0
"Richaun Holmes","F-C","2018-2019",26,"PHO","3",0.53653371320038,0.159602932765633,0.595737947459584,0.56067149234411,0.625174279442642,0.0032798634658917,0.182801115550687,0.342949376388152,0.00890182299997406,0.0599620197360473,0.159180931572602,0.26881700392738,0.0477008135352271,0.0771183237741604,0.0783457897405449,0.201044546850999,0.274221166856978,0.0899398617306871,0.0356464725937582,0.0285403777685955,0.034431072653398,0.115064445049093,0.428774385484984,0
"Ricky Rubio","G","2018-2019",29,"UTA","7",0.402729717702684,0.350156179088253,0.43628299975016,0.461984444444444,0.882674180520334,0.00751467451019916,0.149728390759597,0.364193231922774,0.0491887797970914,0.156114052354549,0.0996431255703732,0.229301796897559,0.0893186157086369,0.101767452162114,0.0180080564649068,0.142981777279815,0.149904399719331,0.174702258905211,0.0568254264241424,0.00260560598229909,0.0927402339172162,0.0852061020282872,0.440670425554847,0
"Rob Gray","G","2018-2019",25,"HOU","R",0.472802314887508,0.371609231742017,0.527928115459339,0.540899122807018,0.744317828009216,0.00416195711000063,0.159645535105657,0.337658108005756,0.0445126107702793,0.119783382564568,0.11525410891464,0.218314019541013,0.0905324547451335,0.121631447398318,0.0482087404377791,0.136764371733697,0.184708020904339,0.080163599182004,0.0334014996591683,0.0240702870559721,0.0640233280315079,0.0751798833598423,0.454487616450806,0
"Robert Covington","F","2018-2019",29,"PHI","5",0.437866739371339,0.353990925525252,0.51723158577807,0.574720140047663,0.850298777134215,0.00785909305278375,0.114875485860748,0.324311087491861,0.0816928720373355,0.245472161907493,0.0472067679954115,0.107221729950465,0.0577996917306211,0.0622704663400133,0.0229870492476794,0.159531172173336,0.177551782308682,0.0677431138787606,0.0515271012827555,0.0217956890727302,0.0520266657652559,0.0964575189048043,0.394065677353243,0
"Robert Williams","F","2018-2019",22,"BOS","R",0.592592592592593,0.1,0.625,0.597,0.545454545454545,0.00397837858628116,0.186770428015564,0.315175097276265,0.00194552529182879,0.0194552529182879,0.184824902723735,0.295719844357977,0.0583657587548638,0.107003891050584,0.105058365758755,0.233463035019455,0.33852140077821,0.0544747081712062,0.0291828793774319,0.0992217898832685,0.066147859922179,0.0778210116731518,0.433852140077821,27
"Robin Lopez","C","2018-2019",31,"CHI","10",0.550953510980268,0.286,0.561183566970693,0.553480395252215,0.71355895147797,0.00662636771406499,0.202743128662155,0.370792900767976,0.00378787878787879,0.00757575757575758,0.202743128662155,0.363837053726079,0.0405143959957526,0.0514952430353349,0.0845420084514044,0.0986865188250641,0.186596744402459,0.0689929575133259,0.0082578515503575,0.0329113233985019,0.0614428706649246,0.0630193238059814,0.446515899257025,0
"Rodions Kurucs","F","2018-2019",21,"BRK","R",0.470588235294118,0.285714285714286,0.7,0.470588235294118,1,0.000892832188341153,0.137931034482759,0.293103448275862,0.0344827586206897,0.120689655172414,0.120689655172414,0.172413793103448,0.0172413793103448,0.0172413793103448,0,0.0862068965517241,0.0862068965517241,0.0344827586206897,0.103448275862069,0.0344827586206897,0.0517241379310345,0.224137931034483,0.327586206896552,40
"Rodney McGruder","G","2018-2019",28,"MIA","2",0.510298245614035,0.4797,0.567853305785124,0.646878048780488,0.522662889518414,0.00354984775716483,0.12855421686747,0.258506503076526,0.0764950711938664,0.155433734939759,0.0563956553136149,0.103654097567111,0.00857870418130385,0.0286282745661545,0.0268390074057699,0.0664092629564463,0.0897992357686022,0.0506155451606547,0.0230206540447504,0.0100172117039587,0.00921571550544134,0.0741732568304912,0.343539294793854,0
"Ron Baker","G","2018-2019",26,"NYK","2",0.32748745243189,0.336141509433962,0.331085452876296,0.421955638842668,0.828612179487179,0.00341285569105691,0.0560785964502972,0.168628438412691,0.0296182445062934,0.0715878093022612,0.0260578375184084,0.0792553755316086,0.0735357462693424,0.0753377255048932,0.0176593444395302,0.0676190476190476,0.0798296199006912,0.13753954232082,0.0652249819595428,0.0178362573099415,0.0480616333220595,0.0793235736163003,0.194263479739728,0
"Rondae Hollis-Jefferson","F","2018-2019",24,"BRK","3",0.465311740890688,0.213517543859649,0.483503816793893,0.47425250501002,0.811341232227488,0.00729224849500403,0.18146054964539,0.3838257861313,0.00869976359338062,0.0325078978418909,0.174897915323447,0.352270996640538,0.131296788810087,0.157873928231184,0.0545697303816005,0.195200763775232,0.245312348197804,0.082058495984995,0.0308346972176759,0.0221711798839458,0.0675609004008634,0.0761229314420804,0.528042152144546,0
"Royce O'Neale","F","2018-2019",26,"UTA","1",0.440354859813084,0.380197711326428,0.474720982142857,0.504447552447552,0.800889204972563,0.00380517530923322,0.0996923791306276,0.227446900914847,0.0387083620964398,0.106081670521572,0.0706142544250642,0.146771719066935,0.0556665108621405,0.0679794037381679,0.0234470027081986,0.178293756986413,0.201071470670153,0.0766993064481857,0.0306173367550613,0.0100027218290691,0.0487616779148759,0.0881014263807501,0.297261566205978,0
"Rudy Gay","F","2018-2019",33,"SAS","12",0.465793694561158,0.329278101252378,0.498477827858897,0.492229987871437,0.792571206052515,0.00451826822746837,0.194982519521587,0.421879268224341,0.0227654251481637,0.0858288513073633,0.167357556379992,0.331628775139194,0.100120137683577,0.119481230821241,0.0616631153551868,0.161220471228692,0.235972428496372,0.0520648033244932,0.0383726979687552,0.0450072656344264,0.0612664578673489,0.0829204895844088,0.502200727366152,0
"Rudy Gobert","C","2018-2019",27,"UTA","5",0.581837748344371,0,0.581837748344371,0.581837748344371,0.65153264604811,0.00809059233449477,0.139288307915759,0.234902767691439,0,0,0.139288307915759,0.239600823045268,0.129982363315697,0.165267979619831,0.0983620745966425,0.241622574955908,0.348660680882903,0.0341938622515711,0.0217234069085921,0.0624958044219867,0.0578675914810369,0.0869441526610644,0.387731481481482,0
"Russell Westbrook","G","2018-2019",31,"OKC","10",0.461352703654561,0.272024717843485,0.536062503898696,0.478170672516624,0.744433092562868,0.00877548522955511,0.268936618765153,0.558957369159622,0.0239983974358974,0.0975684414726771,0.258834607343343,0.476318940400449,0.157824608679065,0.202969634817823,0.0563630191765471,0.207685754106358,0.266278242218986,0.278826442293096,0.0492420525902669,0.00953273329361576,0.122958663473363,0.0684152808936546,0.724965626143123,0
